GAME_DATE_EST,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
4293,2022,113.0,0.489,0.714,0.4,18.0,46.0,93.0,0.434,0.692,0.231,27.0,36.0,1
4292,2022,129.0,0.581,0.75,0.32,31.0,43.0,124.0,0.467,0.765,0.342,34.0,42.0,1
4292,2022,117.0,0.462,0.824,0.378,28.0,40.0,124.0,0.548,0.778,0.423,31.0,42.0,0
4292,2022,112.0,0.449,0.889,0.229,19.0,55.0,99.0,0.398,0.657,0.256,20.0,41.0,1
4292,2022,111.0,0.468,0.806,0.452,25.0,42.0,99.0,0.4,0.868,0.24,18.0,28.0,1
4292,2022,131.0,0.554,0.813,0.481,31.0,41.0,113.0,0.409,0.867,0.367,21.0,45.0,1
4292,2022,123.0,0.48,0.762,0.333,28.0,45.0,122.0,0.48,0.826,0.259,28.0,53.0,1
4292,2022,97.0,0.44,0.917,0.222,23.0,49.0,92.0,0.367,0.778,0.279,18.0,52.0,1
4291,2022,111.0,0.481,0.714,0.382,26.0,32.0,115.0,0.538,0.774,0.333,24.0,46.0,0
4291,2022,133.0,0.553,0.75,0.477,30.0,30.0,136.0,0.52,0.719,0.321,19.0,59.0,0
4291,2022,107.0,0.435,0.895,0.471,24.0,50.0,114.0,0.426,0.938,0.396,22.0,42.0,0
4291,2022,110.0,0.471,0.692,0.375,25.0,48.0,102.0,0.458,0.8,0.345,25.0,40.0,1
4291,2022,144.0,0.635,0.708,0.559,33.0,44.0,115.0,0.456,0.846,0.25,24.0,37.0,1
4291,2022,123.0,0.511,0.8,0.333,26.0,53.0,107.0,0.437,0.731,0.3,17.0,39.0,1
4291,2022,115.0,0.547,0.813,0.308,28.0,39.0,110.0,0.459,0.81,0.366,20.0,42.0,1
4291,2022,124.0,0.518,0.893,0.382,20.0,45.0,118.0,0.542,0.75,0.435,22.0,28.0,1
4290,2022,102.0,0.44,0.786,0.231,16.0,45.0,121.0,0.441,0.867,0.382,25.0,48.0,0
4290,2022,121.0,0.506,0.85,0.439,23.0,40.0,111.0,0.532,0.76,0.345,25.0,38.0,1
